id,lat,lon
0,38.675026,-77.226081
1,38.674369,-77.221219
2,38.675201,-77.215898
3,38.675481,-77.212456
4,38.674634,-77.208054
5,38.674268,-77.202693
6,38.673922,-77.198741
7,38.675045,-77.193613
8,38.674271,-77.189028
9,38.675332,-77.185574
10,38.675326,-77.179823
11,38.674487,-77.176296
12,38.675599,-77.171466
13,38.674041,-77.167393
14,38.675401,-77.161975
15,38.675328,-77.157244
16,38.674840,-77.152301
17,38.674556,-77.148555
18,38.675368,-77.143931
19,38.675426,-77.139500
20,38.675143,-77.135953
21,38.674285,-77.131010
22,38.674018,-77.126608
23,38.674056,-77.122022
24,38.675019,-77.117361
25,38.674541,-77.113136
26,38.674355,-77.107321
27,38.675042,-77.103407
28,38.674182,-77.098686
29,38.674168,-77.094812
30,38.675657,-77.089838
31,38.674877,-77.085253
32,38.675393,-77.080584
33,38.674287,-77.077420
34,38.674442,-77.072491
35,38.674254,-77.066770
36,38.675453,-77.063397
37,38.675055,-77.058747
38,38.675522,-77.054128
39,38.674351,-77.050006
40,38.674885,-77.045473
41,38.674927,-77.039824
42,38.674594,-77.036542
43,38.675671,-77.031514
44,38.674038,-77.027843
45,38.674071,-77.022293
46,38.675301,-77.018158
47,38.673988,-77.013727
48,38.675669,-77.008957
49,38.675624,-77.003854
50,38.673895,-76.999602
51,38.675102,-76.995429
52,38.674355,-76.990737
53,38.674075,-76.986604
54,38.674691,-76.981164
55,38.675452,-76.977904
56,38.674776,-76.973552
57,38.675518,-76.967801
58,38.674412,-76.963714
59,38.674971,-76.960085
60,38.675248,-76.954884
61,38.675277,-76.950396
62,38.673875,-76.946263
63,38.673909,-76.940668
64,38.675457,-76.936339
65,38.674428,-76.933229
66,38.675456,-76.927123
67,38.674028,-76.923449
68,38.673999,-76.918449
69,38.675254,-76.915084
70,38.674730,-76.909820
71,38.674351,-76.904734
72,38.674636,-76.901420
73,38.674846,-76.895982
74,38.674236,-76.892231
75,38.675667,-76.887117
76,38.674663,-76.882851
77,38.674092,-76.878874
78,38.674483,-76.873715
79,38.674288,-76.869873
80,38.674002,-76.864629
81,38.674286,-76.859630
82,38.675423,-76.856629
83,38.674303,-76.851047
84,38.674260,-76.847509
85,38.675559,-76.842214
86,38.674726,-76.837325
87,38.675329,-76.833891
88,38.674049,-76.828953
89,38.674637,-76.824384
90,38.675188,-76.819507
91,38.675647,-76.816039
92,38.674599,-76.811100
93,38.675426,-76.806759
94,38.674217,-76.801894
95,38.674634,-76.797696
96,38.674324,-76.792030
97,38.674672,-76.787637
98,38.674865,-76.784594
99,38.675674,-76.778674
100,38.680124,-77.224457
101,38.679908,-77.221322
102,38.679253,-77.216732
103,38.679101,-77.212507
104,38.679061,-77.206333
105,38.678856,-77.202191
106,38.679198,-77.198337
107,38.680103,-77.192801
108,38.679380,-77.188796
109,38.678657,-77.185051
110,38.680124,-77.180038
111,38.679355,-77.175229
112,38.678481,-77.171019
113,38.679284,-77.166031
114,38.678662,-77.161332
115,38.678523,-77.158224
116,38.679451,-77.152837
117,38.678802,-77.149334
118,38.679982,-77.144601
119,38.679450,-77.139425
120,38.679134,-77.134984
121,38.679320,-77.129847
122,38.678746,-77.125737
123,38.678808,-77.121809
124,38.679589,-77.117477
125,38.678948,-77.112159
126,38.678509,-77.108183
127,38.680177,-77.102710
128,38.678510,-77.099616
129,38.678856,-77.093814
130,38.679966,-77.089407
131,38.679044,-77.086202
132,38.679881,-77.080714
133,38.679481,-77.075699
134,38.679557,-77.072959
135,38.679851,-77.067929
136,38.679574,-77.062272
137,38.678620,-77.059251
138,38.678571,-77.053958
139,38.678869,-77.049361
140,38.679671,-77.045579
141,38.679521,-77.040966
142,38.679259,-77.035306
143,38.679903,-77.032266
144,38.679142,-77.027429
145,38.678385,-77.022034
146,38.679526,-77.018447
147,38.679714,-77.013420
148,38.679149,-77.009892
149,38.678514,-77.003814
150,38.680007,-76.999918
151,38.679882,-76.995347
152,38.678645,-76.991662
153,38.678934,-76.985768
154,38.679813,-76.981332
155,38.679998,-76.978000
156,38.678828,-76.973689
157,38.679784,-76.967776
158,38.679111,-76.963747
159,38.678657,-76.958685
160,38.679936,-76.954097
161,38.679839,-76.949763
162,38.678423,-76.945520
163,38.678977,-76.940665
164,38.679824,-76.936281
165,38.679839,-76.932853
166,38.679797,-76.928634
167,38.679950,-76.922777
168,38.678779,-76.918348
169,38.679208,-76.914765
170,38.679811,-76.910401
171,38.678421,-76.905958
172,38.678970,-76.900244
173,38.680121,-76.896794
174,38.679534,-76.892073
175,38.680146,-76.887322
176,38.680071,-76.883576
177,38.680127,-76.878958
178,38.680113,-76.874296
179,38.678574,-76.869487
180,38.679691,-76.865201
181,38.679471,-76.860340
182,38.679072,-76.855718
183,38.678837,-76.850975
184,38.678381,-76.846080
185,38.679349,-76.841947
186,38.679715,-76.837530
187,38.679035,-76.834108
188,38.679575,-76.829135
189,38.678944,-76.823697
190,38.679675,-76.820180
191,38.678936,-76.815480
192,38.679103,-76.811179
193,38.678608,-76.806450
194,38.680073,-76.801482
195,38.680005,-76.797089
196,38.678921,-76.792706
197,38.678379,-76.788672
198,38.679153,-76.783640
199,38.679558,-76.779342
200,38.683680,-77.225741
201,38.683735,-77.219998
202,38.684317,-77.216811
203,38.683036,-77.211684
204,38.684023,-77.207504
205,38.684358,-77.202250
206,38.684095,-77.198694
207,38.683242,-77.194551
208,38.683324,-77.189234
209,38.684414,-77.185454
210,38.683630,-77.179946
211,38.683233,-77.175322
212,38.683774,-77.171632
213,38.684065,-77.167558
214,38.684236,-77.161676
215,38.683075,-77.157793
216,38.683200,-77.152328
217,38.683816,-77.149459
218,38.683332,-77.143517
219,38.683705,-77.139097
220,38.684086,-77.134256
221,38.683956,-77.129820
222,38.684489,-77.125923
223,38.684179,-77.121613
224,38.684379,-77.117031
225,38.684499,-77.112174
226,38.683738,-77.108542
227,38.683328,-77.103356
228,38.684263,-77.099061
229,38.684012,-77.095001
230,38.683022,-77.090476
231,38.683372,-77.085910
232,38.683856,-77.081733
233,38.683300,-77.076227
234,38.684156,-77.072857
235,38.683617,-77.067491
236,38.683632,-77.063591
237,38.683640,-77.057829
238,38.683935,-77.053702
239,38.684427,-77.049071
240,38.683568,-77.045935
241,38.683517,-77.040084
242,38.684421,-77.035219
243,38.683638,-77.031086
244,38.683867,-77.026841
245,38.683280,-77.023028
246,38.683668,-77.018867
247,38.683489,-77.013191
248,38.683611,-77.009613
249,38.683725,-77.005175
250,38.684004,-77.000852
251,38.683593,-76.995379
252,38.682932,-76.990734
253,38.683127,-76.986555
254,38.682973,-76.982200
255,38.683264,-76.977789
256,38.684254,-76.973191
257,38.684238,-76.967870
258,38.683337,-76.964717
259,38.682918,-76.959388
260,38.684685,-76.955225
261,38.684054,-76.949944
262,38.684057,-76.945488
263,38.684594,-76.941983
264,38.682920,-76.937563
265,38.683110,-76.932127
266,38.683899,-76.928436
267,38.684143,-76.922943
268,38.683185,-76.918726
269,38.684230,-76.915109
270,38.684359,-76.909073
271,38.683078,-76.906260
272,38.683445,-76.900581
273,38.684609,-76.896583
274,38.684171,-76.892656
275,38.684127,-76.887158
276,38.683066,-76.882392
277,38.684415,-76.878197
278,38.683101,-76.873002
279,38.684293,-76.869645
280,38.683655,-76.865098
281,38.683795,-76.860646
282,38.684414,-76.855275
283,38.683073,-76.850521
284,38.684028,-76.846255
285,38.684157,-76.842459
286,38.684205,-76.836999
287,38.683370,-76.832778
288,38.683853,-76.828859
289,38.683668,-76.823908
290,38.683366,-76.819186
291,38.684380,-76.816060
292,38.684471,-76.811272
293,38.683720,-76.806108
294,38.683566,-76.802651
295,38.684416,-76.797871
296,38.683265,-76.792256
297,38.683496,-76.787603
298,38.684146,-76.784187
299,38.682901,-76.778472
300,38.687542,-77.224829
301,38.688268,-77.220256
302,38.688632,-77.215953
303,38.688272,-77.211184
304,38.687555,-77.207709
305,38.688634,-77.203052
306,38.688435,-77.198246
307,38.688344,-77.193828
308,38.688731,-77.189494
309,38.688654,-77.185097
310,38.687840,-77.180864
311,38.687734,-77.176361
312,38.688353,-77.170699
313,38.687721,-77.167178
314,38.688260,-77.161758
315,38.689147,-77.157613
316,38.687897,-77.153873
317,38.687737,-77.149140
318,38.687711,-77.145020
319,38.688350,-77.140046
320,38.689143,-77.135039
321,38.688644,-77.131304
322,38.688952,-77.126143
323,38.688960,-77.121488
324,38.688233,-77.117224
325,38.687720,-77.113421
326,38.689083,-77.108148
327,38.688869,-77.103783
328,38.687521,-77.098866
329,38.687484,-77.095227
330,38.688402,-77.090444
331,38.689178,-77.086273
332,38.688765,-77.080890
333,38.688812,-77.077071
334,38.688329,-77.072161
335,38.688185,-77.066919
336,38.689171,-77.063414
337,38.688506,-77.058361
338,38.688721,-77.053248
339,38.687762,-77.050070
340,38.688577,-77.045663
341,38.687701,-77.041306
342,38.687392,-77.036125
343,38.688457,-77.031908
344,38.687804,-77.026654
345,38.688654,-77.022605
346,38.688626,-77.017254
347,38.688807,-77.013288
348,38.688579,-77.008228
349,38.688153,-77.004424
350,38.688554,-76.999264
351,38.688877,-76.996268
352,38.687686,-76.991338
353,38.688737,-76.986362
354,38.687907,-76.982659
355,38.688628,-76.977118
356,38.689086,-76.972972
357,38.688277,-76.969224
358,38.687459,-76.964086
359,38.687968,-76.959909
360,38.687552,-76.954123
361,38.688894,-76.950315
362,38.689101,-76.945046
363,38.688599,-76.941857
364,38.687460,-76.936475
365,38.688235,-76.932159
366,38.689038,-76.928502
367,38.688442,-76.923181
