from,to,distance
0,1,1.3816
0,31,1.5975
1,2,1.5198
1,32,2.0022
2,3,0.9691
2,33,1.3282
3,4,1.2695
3,34,1.2463
4,5,1.5071
4,35,1.5495
5,6,1.1137
5,36,2.0431
6,7,1.4915
6,37,2.0246
7,8,1.3134
7,38,1.7873
8,9,1.0396
8,39,1.6535
9,10,1.6104
9,40,1.4611
10,11,1.0324
10,41,1.4762
11,12,1.4103
11,42,1.6543
12,13,1.2699
12,43,1.6441
13,14,1.5937
13,44,1.6147
14,15,1.3252
14,45,1.1389
15,16,1.3952
15,46,1.6135
16,17,1.0539
16,47,1.3438
17,18,1.3273
17,48,2.0149
18,19,1.2408
18,49,1.7117
19,20,0.9984
19,50,1.0687
20,21,1.4182
20,51,1.6200
21,22,1.2366
21,52,1.6505
22,23,1.2843
22,53,1.6394
23,24,1.3502
23,54,1.8750
24,25,1.1954
24,55,1.7717
25,26,1.6297
25,56,1.7001
26,27,1.1235
26,57,2.0333
27,28,1.3574
27,58,1.3899
28,29,1.0850
28,59,1.9208
29,30,1.4917
29,60,2.0046
30,61,1.4805
31,32,1.3202
31,62,1.2692
32,33,0.9707
32,63,1.0863
33,34,1.3812
33,64,2.0752
34,35,1.6032
34,65,1.6141
35,36,1.0375
35,66,2.0468
36,37,1.3098
36,67,1.1081
37,38,1.3038
37,68,1.2505
38,39,1.2281
38,69,1.5287
39,40,1.2837
39,70,1.7584
40,41,1.5816
40,71,1.4571
41,42,0.9266
41,72,1.5505
42,43,1.4597
42,73,1.7255
43,44,1.1832
43,74,1.1055
44,45,1.5540
44,75,2.2210
45,46,1.2388
45,76,1.8289
46,47,1.3271
46,77,1.1862
47,48,1.4653
47,78,1.7962
48,49,1.4285
48,79,1.1314
49,50,1.3424
49,80,1.0405
50,51,1.2462
50,81,1.7587
51,52,1.3407
51,82,1.7466
52,53,1.1615
52,83,1.5972
53,54,1.5390
53,84,1.6890
54,55,0.9527
54,85,1.9368
55,56,1.2423
55,86,1.3804
56,57,1.6320
56,87,1.8141
57,58,1.2112
57,88,1.1109
58,59,1.0356
58,89,1.6988
59,60,1.4595
59,90,1.7136
60,61,1.2566
60,91,1.7730
61,92,1.3761
62,63,1.5661
62,93,2.1726
63,64,1.3330
63,94,1.7430
64,65,0.9457
64,95,1.3496
65,66,1.7486
65,96,1.6377
66,67,1.1489
66,97,1.3354
67,68,1.3995
67,98,1.9286
68,69,1.0441
68,99,2.2172
69,70,1.4853
69,100,1.7928
70,71,1.4301
70,101,1.8671
71,72,0.9333
71,102,1.7894
72,73,1.5241
72,103,1.6033
73,74,1.0725
73,104,1.5176
74,75,1.5206
74,105,1.6742
75,76,1.2472
75,106,1.2718
76,77,1.1319
76,107,1.9661
77,78,1.4511
77,108,1.9130
78,79,1.0775
78,109,1.5045
79,80,1.4718
79,110,2.1009
80,81,1.4030
80,111,1.9212
81,82,0.9337
81,112,1.5134
82,83,1.6134
82,113,1.4402
83,84,0.9904
83,114,1.5706
84,85,1.5537
84,115,1.5293
85,86,1.4009
85,116,1.3967
86,87,0.9853
86,117,1.5002
87,88,1.4566
87,118,1.6695
88,89,1.2964
88,119,1.9397
89,90,1.3792
89,120,1.6140
90,91,0.9848
90,121,1.4883
91,92,1.4326
91,122,1.1545
92,123,1.5101
93,94,1.4290
93,124,1.4932
94,95,1.1844
94,125,1.7040
95,96,1.5897
95,126,1.3929
96,97,1.2358
96,127,2.0999
97,98,0.8546
97,128,1.4150
98,99,1.6819
98,129,1.4991
99,100,1.3063
99,130,1.5394
100,101,0.8808
100,131,1.2880
101,102,1.3058
101,132,1.6288
102,103,1.1837
102,133,1.7414
103,104,1.7280
103,134,1.7794
104,105,1.1615
104,135,1.9301
105,106,1.0855
105,136,1.8747
106,107,1.5829
106,137,1.4170
107,108,1.1506
107,138,1.0893
108,109,1.0796
108,139,1.4337
109,110,1.4984
109,140,1.9800
110,111,1.3737
110,141,1.4086
111,112,1.2191
111,142,1.5830
112,113,1.4255
112,143,2.1400
113,114,1.3340
113,144,1.5912
114,115,0.8713
114,145,1.5193
115,116,1.5437
115,146,1.9761
116,117,1.0078
116,147,1.7114
117,118,1.3904
117,148,1.7410
118,119,1.4613
118,149,1.1353
119,120,1.2478
119,150,1.8161
120,121,1.4392
120,151,1.8842
121,122,1.1687
121,152,1.4326
122,123,1.0993
122,153,1.6855
123,154,1.9899
124,125,1.5058
124,155,1.7632
125,126,1.1235
125,156,1.6063
126,127,1.6443
126,157,2.0841
127,128,1.0521
127,158,1.2475
128,129,1.6282
128,159,1.7070
129,130,1.2958
129,160,2.0032
130,131,0.9556
130,161,1.5704
131,132,1.5646
131,162,1.4232
132,133,1.4107
132,163,1.2967
133,134,0.7671
133,164,1.7400
134,135,1.4113
134,165,1.7220
135,136,1.5859
135,166,1.5994
136,137,0.9118
136,167,1.7511
137,138,1.4813
137,168,1.7096
138,139,1.2909
138,169,1.8483
139,140,1.0965
139,170,1.9630
140,141,1.2919
140,171,1.1673
141,142,1.5865
141,172,1.4499
142,143,0.8813
142,173,1.9506
143,144,1.3806
143,174,1.4916
144,145,1.5339
144,175,1.9804
145,146,1.0840
145,176,2.2449
146,147,1.4080
146,177,1.8316
147,148,1.0077
147,178,1.7647
148,149,1.7160
148,179,1.4256
149,150,1.2147
149,180,2.0581
150,151,1.2797
150,181,1.4234
151,152,1.1224
151,182,1.3253
152,153,1.6526
152,183,1.7099
153,154,1.2805
153,184,1.4177
154,185,1.4510
155,156,1.2770
155,186,1.5320
156,157,1.6891
156,187,1.6899
157,158,1.1529
157,188,1.5659
158,159,1.4253
158,189,1.5602
159,160,1.3631
159,190,2.0063
160,161,1.2128
160,191,1.2890
161,162,1.2912
161,192,1.3837
162,163,1.3725
162,193,1.6895
163,164,1.2635
163,194,2.0129
164,165,0.9591
164,195,1.6854
165,166,1.1802
165,196,1.2940
166,167,1.6393
166,197,1.1108
167,168,1.3082
167,198,1.3373
168,169,1.0141
168,199,1.9034
169,170,1.2401
169,200,1.6047
170,171,1.3391
170,201,1.4479
171,172,1.6106
171,202,2.1149
172,173,1.0497
172,203,1.4689
173,174,1.3375
173,204,1.4002
174,175,1.3469
174,205,1.7391
175,176,1.0483
175,206,1.4251
176,177,1.2921
176,207,1.1383
177,178,1.3039
177,208,1.1565
178,179,1.4542
178,209,1.5459
179,180,1.2644
179,210,1.8162
180,181,1.3621
180,211,1.2851
181,182,1.3008
181,212,1.5493
182,183,1.3295
182,213,1.8138
183,184,1.3792
183,214,1.9367
184,185,1.2072
184,215,1.7023
185,216,1.3866
186,187,0.9878
186,217,1.5038
187,188,1.4045
187,218,1.5905
188,189,1.5376
188,219,1.5004
189,190,1.0182
